Feature,Importance
DCountry_Identity,0.19492309387706977
OCountry_Identity,0.18208959534585428
DPOP,0.077051630668879
POPRatio,0.07454358590086978
col45,0.06514545949930788
Distance,0.043917680419160596
OGDP,0.04341929577130153
fta_wto,0.04113336622568225
GDPRatio,0.03475758821768922
DGDP,0.03394816736314443
CentralityProduct,0.02961111551377422
comlang_off,0.02351894205030136
comcol,0.02098973806081772
DCentrality,0.01966921830411674
OGDPPerCapita,0.018689521936227634
DGDPPerCapita,0.018050067355200525
contig,0.01567920831267397
GDPProduct,0.014394427272117871
CentralityDiff,0.012578791713592946
OPOP,0.012502821857009096
POPProduct,0.012095998538295395
OCentrality,0.01129068579691382
