Feature,Importance
GDPProduct,0.10267510990950106
comlang_off,0.09137767765615767
DGDPPerCapita,0.08977809032270455
OGDPPerCapita,0.08883666745390328
DGDP,0.08206390444177833
Distance,0.08157200615631861
nn_learned_feature_11,0.04733386278528105
CentralityProduct,0.04418293317962327
nn_learned_feature_6,0.04289908451223829
col45,0.03145598425042707
nn_learned_feature_10,0.027488180205716417
OCentrality,0.027054935573902022
nn_learned_feature_7,0.025172212816034163
POPProduct,0.018213010567049978
DPOP,0.01819971174316732
GDPRatio,0.015812658947717998
nn_learned_feature_9,0.015711839648647762
nn_learned_feature_1,0.013924895574880174
nn_learned_feature_0,0.013641262251203143
fta_wto,0.013190235998638323
contig,0.012033934260289519
nn_learned_feature_18,0.00911626532807364
comcol,0.0072805838528160844
DCentrality,0.006317747398773311
nn_learned_feature_2,0.006252325636645303
POPRatio,0.006221065688167704
nn_learned_feature_5,0.006106543032943455
CentralityDiff,0.005565269260377517
nn_learned_feature_4,0.005069475516210422
nn_learned_feature_3,0.004265431825318329
nn_learned_feature_31,0.0036143786876032366
nn_learned_feature_29,0.003315401489382473
OGDP,0.0033118827014718636
OPOP,0.003210671389249689
nn_learned_feature_28,0.002971940485339126
nn_learned_feature_8,0.002840837167143037
nn_learned_feature_12,0.0021306653572165145
nn_learned_feature_15,0.0021122542323353164
nn_learned_feature_14,0.0020267813662257026
nn_learned_feature_26,0.001994415308741268
nn_learned_feature_13,0.0019810087498187473
nn_learned_feature_27,0.001855511327366396
nn_learned_feature_24,0.0017047282814768865
nn_learned_feature_25,0.0016910772788335435
nn_learned_feature_17,0.0013931988900507525
nn_learned_feature_16,0.0013724573367799719
nn_learned_feature_30,0.0012127442541959499
nn_learned_feature_19,0.0009033067922780565
nn_learned_feature_23,0.000687540665823402
nn_learned_feature_22,0.0004132787919699502
nn_learned_feature_20,0.00028338604203694646
nn_learned_feature_21,0.00015962761015542135
