Feature,Importance
GDPProduct,0.1062713463535262
DGDPPerCapita,0.09528300790147597
comlang_off,0.09512704861425383
OGDPPerCapita,0.09384950233753458
Distance,0.09100982256416404
DGDP,0.0893446963768132
DCountry_Identity,0.08000365046068032
OCountry_Identity,0.07098390108809859
CentralityProduct,0.05647547604816461
col45,0.03688664951823637
OCentrality,0.030187180257347027
DPOP,0.02194921743928696
POPProduct,0.021752339413594682
GDPRatio,0.0194713162359442
fta_wto,0.01805727699936277
contig,0.017037601344239456
comcol,0.011262059194177951
OGDP,0.010381724554780992
DCentrality,0.009725193199630815
CentralityDiff,0.009251401445373626
POPRatio,0.008976153380495632
OPOP,0.006713435272818202
