Feature,Importance
nn_learned_feature_11,0.11983367117030654
nn_learned_feature_8,0.09602591527752534
POPRatio,0.0791995731115197
col45,0.0771076354682067
nn_learned_feature_10,0.07389270179424597
CentralityDiff,0.07269148196240216
nn_learned_feature_6,0.059655362671003374
contig,0.04859011195929548
comlang_off,0.040029171635364576
Distance,0.03718196549242262
nn_learned_feature_4,0.0367872003702517
DPOP,0.028502905824709632
OGDPPerCapita,0.026678419982505523
nn_learned_feature_1,0.02248719194931054
CentralityProduct,0.01665756859929452
nn_learned_feature_0,0.016651042302574335
OGDP,0.014822183857139138
comcol,0.012366437221046332
nn_learned_feature_7,0.011925221657545143
OPOP,0.009543064669119963
nn_learned_feature_18,0.009455983788988915
nn_learned_feature_2,0.008672929709310991
nn_learned_feature_5,0.008375224251658606
DGDPPerCapita,0.006397763640275916
POPProduct,0.005889814699652292
DGDP,0.004905150481315314
GDPProduct,0.004416411920501053
nn_learned_feature_3,0.003923288303772431
nn_learned_feature_9,0.0036212508331917737
nn_learned_feature_28,0.0031758179791976857
GDPRatio,0.003149058839871112
fta_wto,0.00309406653113972
DCentrality,0.0029911872601626403
nn_learned_feature_31,0.002943836593733574
OCentrality,0.0029031974627313642
nn_learned_feature_12,0.0028330881098609048
nn_learned_feature_29,0.0025338141725213936
nn_learned_feature_16,0.0020783581024018446
nn_learned_feature_13,0.002076400307096883
nn_learned_feature_14,0.001954265961171916
nn_learned_feature_26,0.001921229559521921
nn_learned_feature_25,0.0018026685618869201
nn_learned_feature_24,0.0016799946555142616
nn_learned_feature_27,0.001643133621239013
nn_learned_feature_15,0.0016352963233825539
nn_learned_feature_17,0.001309063318781804
nn_learned_feature_30,0.0012716353122450758
nn_learned_feature_19,0.0011497513859431874
nn_learned_feature_23,0.0007909856880358501
nn_learned_feature_20,0.00037448838552993965
nn_learned_feature_22,0.00032253505088496577
nn_learned_feature_21,7.948221268874905e-05
