Feature,Importance
DCountry_Identity,0.15086484881439724
OCountry_Identity,0.15086484881439724
col45,0.0852195575697696
POPRatio,0.08511118335655503
CentralityDiff,0.08085908180141843
Distance,0.07033139976262606
contig,0.05887381427106171
comlang_off,0.0507586989991077
OGDPPerCapita,0.03768063644843496
DPOP,0.037235527428879714
CentralityProduct,0.028812028951513247
OGDP,0.025498597022813662
comcol,0.023582225517719786
DGDPPerCapita,0.01897612445069203
OPOP,0.017173466999309807
DGDP,0.015243868851120494
GDPProduct,0.011936867560947369
POPProduct,0.011540228681888687
fta_wto,0.011354179343504682
OCentrality,0.010545007955328044
DCentrality,0.009555862348222487
GDPRatio,0.007981931561923344
