Feature,Importance
POPProduct,0.11665473929775252
OGDP,0.10268230863111334
Distance,0.09648372433540885
CentralityProduct,0.09113830500085497
POPRatio,0.06035074905274108
DGDP,0.0578497638314257
DGDPPerCapita,0.047509449573523106
contig,0.04656905287907018
nn_learned_feature_4,0.04550183887479085
GDPProduct,0.0383080339346716
CentralityDiff,0.03308430129789928
fta_wto,0.027170826360196344
OCentrality,0.024157248992167632
nn_learned_feature_5,0.01909041834877895
nn_learned_feature_8,0.017869049213112147
nn_learned_feature_6,0.014985791238493307
nn_learned_feature_10,0.014220425334143956
OPOP,0.013619202525951344
nn_learned_feature_18,0.010277828646574706
DPOP,0.009067506873674943
nn_learned_feature_2,0.0076411625721312885
nn_learned_feature_1,0.00753456360075623
nn_learned_feature_9,0.006950755372307449
comcol,0.006748000523136801
GDPRatio,0.006628285444707118
nn_learned_feature_0,0.006275056071713207
nn_learned_feature_11,0.006217682276039749
nn_learned_feature_31,0.005824948171675663
nn_learned_feature_3,0.0055161445452494365
comlang_off,0.005465506205044197
col45,0.004792344419725102
OGDPPerCapita,0.0042155957443868715
nn_learned_feature_29,0.003759539728999896
nn_learned_feature_7,0.0037412129896752283
nn_learned_feature_28,0.003333334888023205
DCentrality,0.0028120968881363228
nn_learned_feature_13,0.002558681324743006
nn_learned_feature_16,0.002438445058591192
nn_learned_feature_12,0.0022829835950368546
nn_learned_feature_15,0.0022061182792907446
nn_learned_feature_26,0.002171872649722977
nn_learned_feature_27,0.002160654186708042
nn_learned_feature_25,0.0021173107391621085
nn_learned_feature_14,0.002047671553847905
nn_learned_feature_17,0.0020326009758338034
nn_learned_feature_24,0.001973834726938787
nn_learned_feature_19,0.0012033984279931527
nn_learned_feature_30,0.0011894524935663778
nn_learned_feature_23,0.0007187679286755848
nn_learned_feature_22,0.00044774354100081686
nn_learned_feature_20,0.00033165246534978956
nn_learned_feature_21,7.201836948629911e-05
