Feature,Importance
CentralityProduct,0.10126845697077741
GDPRatio,0.08683656724799037
nn_learned_feature_7,0.07921256032681645
OGDPPerCapita,0.07574251086925161
fta_wto,0.06541776687286285
nn_learned_feature_2,0.05827132939423582
nn_learned_feature_11,0.05763278172085313
nn_learned_feature_0,0.0497794537287346
nn_learned_feature_5,0.044818720878122394
nn_learned_feature_10,0.04354199162437387
GDPProduct,0.03739052780315334
CentralityDiff,0.0366344480532234
DGDPPerCapita,0.0354004165546078
nn_learned_feature_3,0.02608715966319895
OCentrality,0.02119198895400224
DPOP,0.018087556890263267
nn_learned_feature_6,0.017644538800996788
OGDP,0.017492251505231152
DGDP,0.014997243787645364
nn_learned_feature_8,0.013696043058203378
DCentrality,0.011283526560302124
POPRatio,0.010729463665629832
comcol,0.00803984230537792
nn_learned_feature_18,0.006601665588912427
nn_learned_feature_9,0.005898735351934964
nn_learned_feature_1,0.005893703739931991
contig,0.005463303491285286
comlang_off,0.005427807376872829
OPOP,0.0033045006676903237
col45,0.003154113311309115
POPProduct,0.0030201125993194584
nn_learned_feature_26,0.0027428896971068415
nn_learned_feature_29,0.002565801618135937
nn_learned_feature_4,0.0023759735939956647
nn_learned_feature_28,0.0020203693012028233
Distance,0.001876992412490534
nn_learned_feature_31,0.0018750971111347896
nn_learned_feature_12,0.00174244896226199
nn_learned_feature_15,0.0017033055103339834
nn_learned_feature_14,0.001694855914418115
nn_learned_feature_25,0.0016497116540746116
nn_learned_feature_24,0.0015989827220970231
nn_learned_feature_27,0.0015982573513107438
nn_learned_feature_13,0.0014661708272025223
nn_learned_feature_17,0.0010847349802013846
nn_learned_feature_16,0.001058148365220224
nn_learned_feature_30,0.0010510824587727722
nn_learned_feature_22,0.0006836250099438012
nn_learned_feature_19,0.00047378778439399977
nn_learned_feature_23,0.0004439892506799643
nn_learned_feature_20,0.00018055594990350099
nn_learned_feature_21,0.0001521301620083654
