Feature,Importance
DCountry_Identity,0.14268342979674709
CentralityProduct,0.12398255562564148
OCountry_Identity,0.11966093146368115
GDPRatio,0.09372840180177554
OGDPPerCapita,0.08703835835661747
fta_wto,0.07364648007950936
DGDPPerCapita,0.04482752131924103
GDPProduct,0.04288642408183985
CentralityDiff,0.04116383107286907
OGDP,0.03237810319272856
DGDP,0.029391061410127158
OCentrality,0.025696527424978535
Distance,0.023886174824784903
DPOP,0.02318846042088165
comcol,0.016083067640170562
DCentrality,0.015555030759372514
POPRatio,0.014228722550026825
contig,0.012281445847649966
comlang_off,0.01180125686029928
OPOP,0.009435909742304667
POPProduct,0.008311490843250472
col45,0.008144814885502873
