Feature,Importance
DCountry_Identity,0.13117218063021413
OCountry_Identity,0.13117218063021413
CentralityProduct,0.1127184960236429
GDPRatio,0.09079901896209235
OGDPPerCapita,0.08590335829162213
fta_wto,0.0734038185645635
DGDPPerCapita,0.04571995353293362
GDPProduct,0.04382116240355495
CentralityDiff,0.043384501083448344
Distance,0.03371248854914191
OCentrality,0.027530863369881194
OGDP,0.02570095762064472
DPOP,0.02509797804326181
DGDP,0.022756260105586717
comcol,0.01722204191069048
DCentrality,0.017159739683397568
POPRatio,0.01583410802337944
comlang_off,0.014091374556938568
contig,0.014055918696470082
OPOP,0.01028055312423647
col45,0.010121609754171604
POPProduct,0.008341430901829639
